Audit Id,Form Id,Audit Score,Date Of Transaction,Partner,Agentid,Agentname,Selected Fd Group,FATAL,Audited By
PID0220_001-13412,PID0220_001,100,2025-01-02,Apex Operations,CNX023,CNX Agent 23,Post Fulfilment,Yes,QC8165
PID0220_001-13413,PID0220_001,100,2025-01-02,Apex Operations,CNX021,CNX Agent 21,Non actionable,Yes,QC8165
PID0220_001-13415,PID0220_001,100,2025-01-02,Apex Operations,CNX006,CNX Agent 06,Payment Failed,Yes,QC8165
PID0220_001-13416,PID0220_001,100,2025-01-02,Apex Operations,CNX004,CNX Agent 04,Payment Failed,Yes,QC8165
PID0220_001-13417,PID0220_001,95,2025-01-02,Apex Operations,CNX016,CNX Agent 16,Offers,Yes,QC1078
PID0220_001-13421,PID0220_001,90,2025-01-02,Apex Operations,CNX025,CNX Agent 25,Non actionable,Yes,QC1078
PID0220_001-13422,PID0220_001,100,2025-01-02,Apex Operations,CNX005,CNX Agent 05,App Issues,Yes,QC8165
PID0220_001-13424,PID0220_001,90,2025-01-02,Apex Operations,CNX025,CNX Agent 25,Account related,Yes,QC1078
PID0220_001-13426,PID0220_001,100,2025-01-02,Apex Operations,CNX001,CNX Agent 01,Account related,Yes,QC8165
PID0220_001-13438,PID0220_001,80,2025-01-04,Apex Operations,CNX026,CNX Agent 26,General Enquiries,Yes,QC5542
PID0220_001-13439,PID0220_001,100,2025-01-04,Vertex Solutions,HEX002,Hex Agent 02,Fulfilment Pending,Yes,QC9234
PID0220_001-13447,PID0220_001,100,2025-01-04,Apex Operations,CNX001,CNX Agent 01,Account related,Yes,QC1078
PID0220_001-13450,PID0220_001,95,2025-01-04,Apex Operations,CNX012,CNX Agent 12,Account related,Yes,QC7841
PID0220_001-13453,PID0220_001,85,2025-01-04,Apex Operations,CNX011,CNX Agent 11,Account related,Yes,QC1078
PID0220_001-13454,PID0220_001,0,2025-01-04,Vertex Solutions,HEX009,Hex Agent 09,Payment Failed,Yes,QC5542
PID0220_001-13455,PID0220_001,95,2025-01-04,Apex Operations,CNX020,CNX Agent 20,General Enquiries,Yes,QC7841
PID0220_001-13457,PID0220_001,95,2025-01-04,Apex Operations,CNX022,CNX Agent 22,Payment Failed,Yes,QC7841
PID0220_001-13460,PID0220_001,100,2025-01-04,Apex Operations,CNX025,CNX Agent 25,Post Fulfilment,Yes,QC7841
PID0220_001-13466,PID0220_001,74,2025-01-04,Apex Operations,CNX008,CNX Agent 08,Post Fulfilment,Yes,QC5542
PID0220_001-13477,PID0220_001,95,2025-01-04,Horizon Services,TECH009,TechM Agent 09,Account related,Yes,QC9234
PID0220_001-13478,PID0220_001,100,2025-01-04,Nova Support,TRANS001,Trans Agent 01,Post Fulfilment,Yes,QC5542
PID0220_001-13479,PID0220_001,100,2025-01-04,Apex Operations,CNX027,CNX Agent 27,Account related,Yes,QC7841
PID0220_001-13481,PID0220_001,96,2025-01-04,Horizon Services,TECH013,TechM Agent 13,Post Fulfilment,Yes,QC9234
PID0220_001-13491,PID0220_001,0,2025-01-04,Nova Support,TRANS001,Trans Agent 01,App Issues,Yes,QC5542
PID0220_001-13493,PID0220_001,0,2025-01-04,Nova Support,TRANS017,Trans Agent 17,Autopay,Yes,QC5542
PID0220_001-13494,PID0220_001,85,2025-01-04,Apex Operations,CNX024,CNX Agent 24,Post Fulfilment,Yes,QC6819
PID0220_001-13496,PID0220_001,0,2025-01-04,Nova Support,TRANS025,Trans Agent 25,Post Fulfilment,Yes,QC9234
PID0220_001-13501,PID0220_001,0,2025-01-04,Nova Support,TRANS016,Trans Agent 16,Non actionable,Yes,QC1078
PID0220_001-13509,PID0220_001,80,2025-01-04,Horizon Services,TECH010,TechM Agent 10,Payment Failed,Yes,QC7841
PID0220_001-13515,PID0220_001,95,2025-01-04,Horizon Services,TECH012,TechM Agent 12,Reversal Success,Yes,QC7841
PID0220_001-13516,PID0220_001,95,2025-01-04,Apex Operations,CNX026,CNX Agent 26,Payment Failed,Yes,QC8165
PID0220_001-13521,PID0220_001,0,2025-01-04,Nova Support,TRANS023,Trans Agent 23,Post Fulfilment,Yes,QC5542
PID0220_001-13522,PID0220_001,95,2025-01-04,Apex Operations,CNX008,CNX Agent 08,Account related,Yes,QC8165
PID0220_001-13529,PID0220_001,90,2025-01-04,Horizon Services,TECH017,TechM Agent 17,Post Fulfilment,Yes,QC7841
PID0220_001-13530,PID0220_001,100,2025-01-04,Nova Support,TRANS003,Trans Agent 03,Reversal Success,Yes,QC7841
PID0220_001-13533,PID0220_001,0,2025-01-04,Nova Support,TRANS018,Trans Agent 18,Account related,Yes,QC1078
PID0220_001-13534,PID0220_001,100,2025-01-04,Nova Support,TRANS003,Trans Agent 03,Post Fulfilment,Yes,QC7841
PID0220_001-13535,PID0220_001,100,2025-01-04,Nova Support,TRANS016,Trans Agent 16,Payment Failed,Yes,QC8165
PID0220_001-13537,PID0220_001,100,2025-01-05,Apex Operations,CNX014,CNX Agent 14,Non actionable,Yes,QC7841
PID0220_001-13540,PID0220_001,90,2025-01-05,Vertex Solutions,HEX008,Hex Agent 08,General Enquiries,Yes,QC7841
PID0220_001-13542,PID0220_001,85,2025-01-05,Apex Operations,CNX023,CNX Agent 23,Payment Failed,Yes,QC7841
PID0220_001-13545,PID0220_001,95,2025-01-05,Vertex Solutions,HEX017,Hex Agent 17,Account related,Yes,QC7841
PID0220_001-13551,PID0220_001,90,2025-01-05,Vertex Solutions,HEX022,Hex Agent 22,Non actionable,Yes,QC7841
PID0220_001-13554,PID0220_001,91,2025-01-05,Vertex Solutions,HEX016,Hex Agent 16,Post Fulfilment,Yes,QC5542
PID0220_001-13556,PID0220_001,85,2025-01-05,Vertex Solutions,HEX026,Hex Agent 26,Post Fulfilment,Yes,QC5542
PID0220_001-13559,PID0220_001,80,2025-01-05,Apex Operations,CNX021,CNX Agent 21,Post Fulfilment,Yes,QC1078
PID0220_001-13566,PID0220_001,0,2025-01-05,Vertex Solutions,HEX025,Hex Agent 25,General Enquiries,Yes,QC7841
PID0220_001-13568,PID0220_001,85,2025-01-05,Vertex Solutions,HEX026,Hex Agent 26,Post Fulfilment,Yes,QC7841
PID0220_001-13570,PID0220_001,100,2025-01-05,Vertex Solutions,HEX026,Hex Agent 26,Payment Failed,Yes,QC8165
PID0220_001-13572,PID0220_001,100,2025-01-05,Apex Operations,CNX030,CNX Agent 30,Payment Failed,Yes,QC8165
PID0220_001-13575,PID0220_001,71,2025-01-05,Apex Operations,CNX017,CNX Agent 17,Post Fulfilment,Yes,QC5542
PID0220_001-13576,PID0220_001,75,2025-01-05,Apex Operations,CNX022,CNX Agent 22,Account related,Yes,QC5542
PID0220_001-13580,PID0220_001,95,2025-01-05,Vertex Solutions,HEX026,Hex Agent 26,Post Fulfilment,Yes,QC8165
PID0220_001-13582,PID0220_001,100,2025-01-05,Apex Operations,CNX007,CNX Agent 07,Post Fulfilment,Yes,QC7841
PID0220_001-13583,PID0220_001,95,2025-01-05,Apex Operations,CNX028,CNX Agent 28,Fulfilment Pending,Yes,QC8165
PID0220_001-13585,PID0220_001,100,2025-01-05,Vertex Solutions,HEX017,Hex Agent 17,Autopay,Yes,QC1078
PID0220_001-13586,PID0220_001,100,2025-01-05,Apex Operations,CNX027,CNX Agent 27,Autopay,Yes,QC8165
PID0220_001-13591,PID0220_001,100,2025-01-05,Apex Operations,CNX018,CNX Agent 18,Fulfilment Pending,Yes,QC8165
PID0220_001-13594,PID0220_001,90,2025-01-05,Apex Operations,CNX017,CNX Agent 17,Account related,Yes,QC8165
PID0220_001-13595,PID0220_001,90,2025-01-05,Vertex Solutions,HEX029,Hex Agent 29,Post Fulfilment,Yes,QC7841
PID0220_001-13596,PID0220_001,100,2025-01-05,Apex Operations,CNX010,CNX Agent 10,Autopay,Yes,QC8165
PID0220_001-13597,PID0220_001,95,2025-01-05,Apex Operations,CNX003,CNX Agent 03,Fulfilment Failed,Yes,QC8165
PID0220_001-13602,PID0220_001,85,2025-01-06,Vertex Solutions,HEX030,Hex Agent 30,Post Fulfilment,Yes,QC8165
PID0220_001-13605,PID0220_001,100,2025-01-06,Vertex Solutions,HEX030,Hex Agent 30,App Issues,Yes,QC8165
PID0220_001-13607,PID0220_001,100,2025-01-06,Apex Operations,CNX007,CNX Agent 07,Account related,Yes,QC7841
PID0220_001-13608,PID0220_001,100,2025-01-06,Vertex Solutions,HEX027,Hex Agent 27,Post Fulfilment,Yes,QC8165
PID0220_001-13609,PID0220_001,95,2025-01-06,Apex Operations,CNX016,CNX Agent 16,Payment Failed,Yes,QC7841
PID0220_001-13622,PID0220_001,95,2025-01-06,Vertex Solutions,HEX026,Hex Agent 26,App Issues,Yes,QC8165
PID0220_001-13624,PID0220_001,100,2025-01-06,Apex Operations,CNX028,CNX Agent 28,General Enquiries,Yes,QC8165
PID0220_001-13630,PID0220_001,85,2025-01-06,Vertex Solutions,HEX008,Hex Agent 08,Post Fulfilment,Yes,QC1078
PID0220_001-13634,PID0220_001,100,2025-01-06,Vertex Solutions,HEX008,Hex Agent 08,Post Fulfilment,Yes,QC1078
PID0220_001-13637,PID0220_001,100,2025-01-06,Vertex Solutions,HEX026,Hex Agent 26,General Enquiries,Yes,QC8165
PID0220_001-13638,PID0220_001,95,2025-01-06,Vertex Solutions,HEX009,Hex Agent 09,Non actionable,Yes,QC6819
PID0220_001-13639,PID0220_001,95,2025-01-06,Apex Operations,CNX030,CNX Agent 30,Payment Failed,Yes,QC8165
PID0220_001-13645,PID0220_001,99,2025-01-06,Apex Operations,CNX027,CNX Agent 27,Fulfilment Pending,Yes,QC8165
PID0220_001-13647,PID0220_001,95,2025-01-06,Vertex Solutions,HEX022,Hex Agent 22,Post Fulfilment,Yes,QC7841
PID0220_001-13649,PID0220_001,99,2025-01-06,Vertex Solutions,HEX025,Hex Agent 25,Post Fulfilment,Yes,QC7841
PID0220_001-13656,PID0220_001,85,2025-01-06,Vertex Solutions,HEX027,Hex Agent 27,Offers,Yes,QC7841
PID0220_001-13657,PID0220_001,0,2025-01-06,Vertex Solutions,HEX009,Hex Agent 09,Post Fulfilment,Yes,QC6819
PID0220_001-13660,PID0220_001,0,2025-01-06,Vertex Solutions,HEX023,Hex Agent 23,Post Fulfilment,Yes,QC5542
PID0220_001-13661,PID0220_001,95,2025-01-06,Vertex Solutions,HEX030,Hex Agent 30,Post Fulfilment,Yes,QC7841
PID0220_001-13662,PID0220_001,90,2025-01-06,Vertex Solutions,HEX026,Hex Agent 26,General Enquiries,Yes,QC5542
PID0220_001-13663,PID0220_001,100,2025-01-06,Apex Operations,CNX006,CNX Agent 06,App Issues,Yes,QC8165
PID0220_001-13664,PID0220_001,100,2025-01-06,Apex Operations,CNX003,CNX Agent 03,Fulfilment Pending,Yes,QC8165
PID0220_001-13666,PID0220_001,95,2025-01-06,Vertex Solutions,HEX022,Hex Agent 22,Fulfilment Pending,Yes,QC1078
PID0220_001-13669,PID0220_001,90,2025-01-06,Vertex Solutions,HEX027,Hex Agent 27,Post Fulfilment,Yes,QC5542
PID0220_001-13680,PID0220_001,84,2025-01-06,Vertex Solutions,HEX003,Hex Agent 03,General Enquiries,Yes,QC5542
PID0220_001-13681,PID0220_001,80,2025-01-06,Apex Operations,CNX019,CNX Agent 19,Account related,Yes,QC5542
PID0220_001-13683,PID0220_001,100,2025-01-06,Apex Operations,CNX008,CNX Agent 08,Account related,Yes,QC5542
PID0220_001-13684,PID0220_001,100,2025-01-06,Vertex Solutions,HEX030,Hex Agent 30,Payment Failed,Yes,QC8165
PID0220_001-13687,PID0220_001,100,2025-01-06,Vertex Solutions,HEX029,Hex Agent 29,Post Fulfilment,Yes,QC8165
PID0220_001-13690,PID0220_001,100,2025-01-06,Vertex Solutions,HEX029,Hex Agent 29,Reversal Success,Yes,QC8165
PID0220_001-13691,PID0220_001,99,2025-01-06,Vertex Solutions,HEX027,Hex Agent 27,General Enquiries,Yes,QC8165
PID0220_001-13686,PID0220_001,100,2025-01-06,Vertex Solutions,HEX010,Hex Agent 10,Account related,Yes,QC5542
PID0220_001-13693,PID0220_001,100,2025-01-06,Apex Operations,CNX007,CNX Agent 07,Non actionable,Yes,QC7841
PID0220_001-13694,PID0220_001,95,2025-01-06,Vertex Solutions,HEX027,Hex Agent 27,Post Fulfilment,Yes,QC8165
PID0220_001-13699,PID0220_001,95,2025-01-06,Vertex Solutions,HEX004,Hex Agent 04,Post Fulfilment,Yes,QC5542
PID0220_001-13700,PID0220_001,95,2025-01-06,Apex Operations,CNX015,CNX Agent 15,Post Fulfilment,Yes,QC7841
PID0220_001-13703,PID0220_001,100,2025-01-06,Apex Operations,CNX016,CNX Agent 16,Offers,Yes,QC7841
PID0220_001-13705,PID0220_001,100,2025-01-06,Vertex Solutions,HEX008,Hex Agent 08,Post Fulfilment,Yes,QC8165
PID0220_001-13706,PID0220_001,95,2025-01-06,Apex Operations,CNX017,CNX Agent 17,Post Fulfilment,Yes,QC7841
PID0220_001-13707,PID0220_001,90,2025-01-06,Apex Operations,CNX013,CNX Agent 13,Post Fulfilment,Yes,QC5542
PID0220_001-13708,PID0220_001,90,2025-01-06,Apex Operations,CNX011,CNX Agent 11,Post Fulfilment,Yes,QC5542
PID0220_001-13712,PID0220_001,0,2025-01-06,Vertex Solutions,HEX003,Hex Agent 03,General Enquiries,Yes,QC5542
PID0220_001-13713,PID0220_001,96,2025-01-06,Vertex Solutions,HEX003,Hex Agent 03,Account related,Yes,QC5542
PID0220_001-13714,PID0220_001,100,2025-01-07,Vertex Solutions,HEX030,Hex Agent 30,Payment Failed,Yes,QC8165
PID0220_001-13716,PID0220_001,100,2025-01-07,Apex Operations,CNX008,CNX Agent 08,Non actionable,Yes,QC1078
PID0220_001-13734,PID0220_001,95,2025-01-07,Horizon Services,TECH004,TechM Agent 04,Payment Failed,Yes,QC7841
PID0220_001-13735,PID0220_001,100,2025-01-07,Apex Operations,CNX009,CNX Agent 09,Account related,Yes,QC8165
PID0220_001-13740,PID0220_001,95,2025-01-07,Horizon Services,TECH013,TechM Agent 13,Post Fulfilment,Yes,QC7841
PID0220_001-13741,PID0220_001,100,2025-01-07,Apex Operations,CNX002,CNX Agent 02,Fulfilment Pending,Yes,QC8165
PID0220_001-13742,PID0220_001,85,2025-01-07,Nova Support,TRANS015,Trans Agent 15,Payment Pending,Yes,QC5542
PID0220_001-13744,PID0220_001,90,2025-01-07,Horizon Services,TECH017,TechM Agent 17,Payment Failed,Yes,QC7841
PID0220_001-13747,PID0220_001,85,2025-01-07,Apex Operations,CNX011,CNX Agent 11,Autopay,Yes,QC5542
PID0220_001-13751,PID0220_001,100,2025-01-07,Nova Support,TRANS018,Trans Agent 18,General Enquiries,Yes,QC8165
PID0220_001-13753,PID0220_001,100,2025-01-07,Horizon Services,TECH030,TechM Agent 30,Offers,Yes,QC8165
PID0220_001-13754,PID0220_001,95,2025-01-07,Apex Operations,CNX012,CNX Agent 12,Account related,Yes,QC7841
PID0220_001-13756,PID0220_001,100,2025-01-07,Apex Operations,CNX020,CNX Agent 20,Post Fulfilment,Yes,QC7841
PID0220_001-13757,PID0220_001,90,2025-01-07,Apex Operations,CNX022,CNX Agent 22,Autopay,Yes,QC7841
PID0220_001-13762,PID0220_001,95,2025-01-07,Horizon Services,TECH012,TechM Agent 12,Payment Failed,Yes,QC8165
PID0220_001-13763,PID0220_001,95,2025-01-07,Horizon Services,TECH001,TechM Agent 01,Payment Failed,Yes,QC5542
PID0220_001-13765,PID0220_001,90,2025-01-07,Horizon Services,TECH009,TechM Agent 09,Account related,Yes,QC8165
PID0220_001-13769,PID0220_001,100,2025-01-07,Horizon Services,TECH008,TechM Agent 08,Autopay,Yes,QC8165
PID0220_001-13773,PID0220_001,99,2025-01-07,Horizon Services,TECH005,TechM Agent 05,General Enquiries,Yes,QC8165
PID0220_001-13775,PID0220_001,100,2025-01-07,Horizon Services,TECH003,TechM Agent 03,Non actionable,Yes,QC8165
PID0220_001-13776,PID0220_001,80,2025-01-07,Nova Support,TRANS022,Trans Agent 22,Fulfilment Pending,Yes,QC5542
PID0220_001-13777,PID0220_001,95,2025-01-07,Horizon Services,TECH002,TechM Agent 02,Risk Team,Yes,QC8165
PID0220_001-13778,PID0220_001,95,2025-01-07,Apex Operations,CNX023,CNX Agent 23,Post Fulfilment,Yes,QC5542
PID0220_001-13780,PID0220_001,100,2025-01-07,Apex Operations,CNX001,CNX Agent 01,Account related,Yes,QC8165
PID0220_001-13783,PID0220_001,95,2025-01-07,Apex Operations,CNX001,CNX Agent 01,General Enquiries,Yes,QC8165
PID0220_001-13787,PID0220_001,0,2025-01-07,Nova Support,TRANS012,Trans Agent 12,Payment Failed,Yes,QC5542
PID0220_001-13788,PID0220_001,95,2025-01-07,Apex Operations,CNX013,CNX Agent 13,Autopay,Yes,QC9234
PID0220_001-13794,PID0220_001,90,2025-01-07,Apex Operations,CNX015,CNX Agent 15,Post Fulfilment,Yes,QC7841
PID0220_001-13795,PID0220_001,91,2025-01-07,Horizon Services,TECH010,TechM Agent 10,Account related,Yes,QC5542
PID0220_001-13799,PID0220_001,99,2025-01-07,Apex Operations,CNX002,CNX Agent 02,Reversal Success,Yes,QC8165
PID0220_001-13800,PID0220_001,95,2025-01-07,Apex Operations,CNX023,CNX Agent 23,Post Fulfilment,Yes,QC9234
PID0220_001-13801,PID0220_001,86,2025-01-07,Horizon Services,TECH016,TechM Agent 16,Post Fulfilment,Yes,QC5542
PID0220_001-13816,PID0220_001,95,2025-01-07,Vertex Solutions,HEX030,Hex Agent 30,Account related,Yes,QC8165
PID0220_001-13817,PID0220_001,0,2025-01-07,Apex Operations,CNX016,CNX Agent 16,Reversal Success,Yes,QC5542
PID0220_001-13818,PID0220_001,0,2025-01-07,Nova Support,TRANS001,Trans Agent 01,Account related,Yes,QC1078
PID0220_001-13819,PID0220_001,100,2025-01-07,Vertex Solutions,HEX001,Hex Agent 01,Payment Pending,Yes,QC5542
PID0220_001-13820,PID0220_001,89,2025-01-07,Nova Support,TRANS016,Trans Agent 16,Account related,Yes,QC1078
PID0220_001-13823,PID0220_001,0,2025-01-07,Nova Support,TRANS021,Trans Agent 21,Autopay,Yes,QC1078
PID0220_001-13825,PID0220_001,85,2025-01-07,Apex Operations,CNX006,CNX Agent 06,Payment Failed,Yes,QC7841
PID0220_001-13828,PID0220_001,100,2025-01-07,Vertex Solutions,HEX026,Hex Agent 26,Post Fulfilment,Yes,QC8165
PID0220_001-13831,PID0220_001,90,2025-01-07,Vertex Solutions,HEX026,Hex Agent 26,Non actionable,Yes,QC8165
PID0220_001-13832,PID0220_001,99,2025-01-07,Vertex Solutions,HEX001,Hex Agent 01,Payment Failed,Yes,QC5542
PID0220_001-13835,PID0220_001,100,2025-01-07,Apex Operations,CNX009,CNX Agent 09,Post Fulfilment,Yes,QC8165
PID0220_001-13837,PID0220_001,100,2025-01-07,Vertex Solutions,HEX006,Hex Agent 06,General Enquiries,Yes,QC8165
PID0220_001-13838,PID0220_001,90,2025-01-07,Apex Operations,CNX027,CNX Agent 27,Non actionable,Yes,QC5542
PID0220_001-13840,PID0220_001,81,2025-01-07,Apex Operations,CNX003,CNX Agent 03,Account related,Yes,QC5542
PID0220_001-13844,PID0220_001,100,2025-01-07,Vertex Solutions,HEX016,Hex Agent 16,Post Fulfilment,Yes,QC9234
PID0220_001-13845,PID0220_001,90,2025-01-06,Vertex Solutions,HEX030,Hex Agent 30,Offers,Yes,QC5542
PID0220_001-13846,PID0220_001,95,2025-01-07,Vertex Solutions,HEX008,Hex Agent 08,Post Fulfilment,Yes,QC5542
PID0220_001-13848,PID0220_001,80,2025-01-07,Apex Operations,CNX026,CNX Agent 26,Offers,Yes,QC5542
PID0220_001-13850,PID0220_001,90,2025-01-07,Apex Operations,CNX009,CNX Agent 09,Post Fulfilment,Yes,QC7841
PID0220_001-13851,PID0220_001,100,2025-01-07,Apex Operations,CNX015,CNX Agent 15,Payment Failed,Yes,QC5542
PID0220_001-13852,PID0220_001,100,2025-01-07,Nova Support,TRANS025,Trans Agent 25,Post Fulfilment,Yes,QC5542
PID0220_001-13854,PID0220_001,0,2025-01-07,Apex Operations,CNX028,CNX Agent 28,Non actionable,Yes,QC7841
PID0220_001-13855,PID0220_001,94,2025-01-07,Apex Operations,CNX006,CNX Agent 06,Non actionable,Yes,QC5542
PID0220_001-13856,PID0220_001,95,2025-01-07,Apex Operations,CNX016,CNX Agent 16,Fulfilment Pending,Yes,QC1078
PID0220_001-13858,PID0220_001,100,2025-01-07,Vertex Solutions,HEX008,Hex Agent 08,Post Fulfilment,Yes,QC5542
PID0220_001-13867,PID0220_001,95,2025-01-08,Apex Operations,CNX006,CNX Agent 06,General Enquiries,Yes,QC8165
PID0220_001-13868,PID0220_001,85,2025-01-08,Apex Operations,CNX008,CNX Agent 08,Account related,Yes,QC7841
PID0220_001-13869,PID0220_001,90,2025-01-08,Apex Operations,CNX015,CNX Agent 15,Fulfilment Pending,Yes,QC8165
PID0220_001-13872,PID0220_001,85,2025-01-08,Apex Operations,CNX030,CNX Agent 30,Blocked Fraud,Yes,QC8165
PID0220_001-13875,PID0220_001,100,2025-01-08,Apex Operations,CNX012,CNX Agent 12,Post Fulfilment,Yes,QC7841
PID0220_001-13877,PID0220_001,100,2025-01-08,Apex Operations,CNX001,CNX Agent 01,Risk Team,Yes,QC8165
PID0220_001-13883,PID0220_001,95,2025-01-08,Apex Operations,CNX006,CNX Agent 06,Account related,Yes,QC5542
PID0220_001-13885,PID0220_001,99,2025-01-08,Apex Operations,CNX028,CNX Agent 28,Payment Failed,Yes,QC8165
PID0220_001-13896,PID0220_001,75,2025-01-08,Apex Operations,CNX006,CNX Agent 06,Non actionable,Yes,QC1078
PID0220_001-13900,PID0220_001,100,2025-01-08,Apex Operations,CNX027,CNX Agent 27,Non actionable,Yes,QC8165
PID0220_001-13904,PID0220_001,95,2025-01-08,Apex Operations,CNX013,CNX Agent 13,Post Fulfilment,Yes,QC1078
PID0220_001-13910,PID0220_001,85,2025-01-08,Apex Operations,CNX021,CNX Agent 21,Post Fulfilment,Yes,QC1078
PID0220_001-13911,PID0220_001,70,2025-01-08,Nova Support,TRANS010,Trans Agent 10,Account related,Yes,QC5542
PID0220_001-13916,PID0220_001,100,2025-01-08,Apex Operations,CNX016,CNX Agent 16,Offers,Yes,QC8165
PID0220_001-13918,PID0220_001,100,2025-01-08,Apex Operations,CNX010,CNX Agent 10,Post Fulfilment,Yes,QC8165
