Audit Id,Form Id,Audit Score,Agentid,Agentname,Partner,Date Of Transaction,Selected Fd Group,FATAL,Audited By
PID0314_001-325,PID0314_001,70,SK302,Nova-02,Quantum Assist,2025-05-12,Devices,Yes,QC9234
PID0314_001-327,PID0314_001,80,SK302,Nova-02,Quantum Assist,2025-05-12,Devices,Yes,QC9234
PID0314_001-328,PID0314_001,80,TC401,Orion-01,Nova Support,2025-05-12,Merchant profile,Yes,QC7426
PID0314_001-330,PID0314_001,0,TC401,Orion-01,Nova Support,2025-05-12,Devices,Yes,QC7426
PID0314_001-344,PID0314_001,80,HX201,Falcon-01,Vertex Solutions,2025-05-12,Devices,Yes,QC9234
PID0314_001-348,PID0314_001,100,HX224,Falcon-24,Vertex Solutions,2025-05-12,Devices,Yes,QC7841
PID0314_001-353,PID0314_001,0,TC402,Orion-02,Nova Support,2025-05-12,Devices,Yes,QC7841
PID0314_001-364,PID0314_001,100,TC411,Orion-11,Nova Support,2025-05-12,Generic,Yes,QC7841
PID0314_001-365,PID0314_001,0,TC421,Orion-21,Nova Support,2025-05-12,Generic,Yes,QC7841
PID0314_001-366,PID0314_001,100,TC414,Orion-14,Nova Support,2025-05-12,Merchant profile,Yes,QC7426
PID0314_001-367,PID0314_001,70,TC415,Orion-15,Nova Support,2025-05-12,Devices,Yes,QC7426
PID0314_001-369,PID0314_001,100,TC414,Orion-14,Nova Support,2025-05-12,Merchant profile,Yes,QC7426
PID0314_001-374,PID0314_001,0,TC406,Orion-06,Nova Support,2025-05-12,Devices,Yes,QC9234
PID0314_001-375,PID0314_001,100,TC420,Orion-20,Nova Support,2025-05-12,Generic,Yes,QC7426
PID0314_001-376,PID0314_001,70,TC406,Orion-06,Nova Support,2025-05-12,Settlements,Yes,QC9234
PID0314_001-377,PID0314_001,80,TC408,Orion-08,Nova Support,2025-05-12,Devices,Yes,QC9234
PID0314_001-389,PID0314_001,80,HX217,Falcon-17,Vertex Solutions,2025-05-13,FRA Merchant Escalations,Yes,QC9234
PID0314_001-390,PID0314_001,100,HX218,Falcon-18,Vertex Solutions,2025-05-13,Settlements,Yes,QC9234
PID0314_001-409,PID0314_001,90,HX224,Falcon-24,Vertex Solutions,2025-05-14,Devices,Yes,QC7426
PID0314_001-411,PID0314_001,80,HX224,Falcon-24,Vertex Solutions,2025-05-13,App features and issues,Yes,QC7426
PID0314_001-413,PID0314_001,0,SK302,Nova-02,Quantum Assist,2025-05-14,Devices,Yes,QC7841
PID0314_001-414,PID0314_001,0,HX226,Falcon-26,Vertex Solutions,2025-05-14,Settlements,Yes,QC7426
PID0314_001-415,PID0314_001,90,SK302,Nova-02,Quantum Assist,2025-05-14,Devices,Yes,QC7841
PID0314_001-432,PID0314_001,80,HX218,Falcon-18,Vertex Solutions,2025-05-14,Devices,Yes,QC9234
PID0314_001-435,PID0314_001,100,HX224,Falcon-24,Vertex Solutions,2025-05-13,Generic,Yes,QC9234
PID0314_001-447,PID0314_001,90,TC408,Orion-08,Nova Support,2025-05-14,Devices,Yes,QC9234
PID0314_001-453,PID0314_001,80,TC418,Orion-18,Nova Support,2025-05-14,App features and issues,Yes,QC7841
PID0314_001-454,PID0314_001,70,TC418,Orion-18,Nova Support,2025-05-13,Lending,Yes,QC7841
PID0314_001-455,PID0314_001,100,TC420,Orion-20,Nova Support,2025-05-14,Generic,Yes,QC7841
PID0314_001-457,PID0314_001,0,TC403,Orion-03,Nova Support,2025-05-14,Onboarding,Yes,QC9234
PID0314_001-470,PID0314_001,80,SK301,Nova-01,Quantum Assist,2025-05-15,Settlements,Yes,QC7841
PID0314_001-484,PID0314_001,0,TC401,Orion-01,Nova Support,2025-05-15,Generic,Yes,QC7841
PID0314_001-487,PID0314_001,0,HX205,Falcon-05,Vertex Solutions,2025-05-17,Merchant profile,Yes,QC7426
PID0314_001-488,PID0314_001,0,SK302,Nova-02,Quantum Assist,2025-05-17,Devices,Yes,QC9234
PID0314_001-489,PID0314_001,0,SK302,Nova-02,Quantum Assist,2025-05-17,Settlements,Yes,QC7841
PID0314_001-490,PID0314_001,90,SK302,Nova-02,Quantum Assist,2025-05-17,Devices,Yes,QC7841
PID0314_001-491,PID0314_001,90,SK302,Nova-02,Quantum Assist,2025-05-17,Devices,Yes,QC7841
PID0314_001-492,PID0314_001,0,SK302,Nova-02,Quantum Assist,2025-05-17,Settlements,Yes,QC7841
PID0314_001-497,PID0314_001,90,HX224,Falcon-24,Vertex Solutions,2025-05-16,Generic,Yes,QC7841
PID0314_001-498,PID0314_001,0,TC402,Orion-02,Nova Support,2025-05-17,Devices,Yes,QC7841
PID0314_001-499,PID0314_001,90,TC402,Orion-02,Nova Support,2025-05-16,Merchant profile,Yes,QC7841
PID0314_001-501,PID0314_001,100,TC404,Orion-04,Nova Support,2025-05-17,Generic,Yes,QC7841
PID0314_001-504,PID0314_001,0,HX205,Falcon-05,Vertex Solutions,2025-05-17,Settlements,Yes,QC9234
PID0314_001-506,PID0314_001,90,HX214,Falcon-14,Vertex Solutions,2025-05-17,Devices,Yes,QC9234
PID0314_001-510,PID0314_001,0,TC408,Orion-08,Nova Support,2025-05-17,Lending,Yes,QC7841
PID0314_001-511,PID0314_001,90,HX212,Falcon-12,Vertex Solutions,2025-05-16,Settlements,Yes,QC7426
PID0314_001-514,PID0314_001,0,TC408,Orion-08,Nova Support,2025-05-17,Devices,Yes,QC7841
PID0314_001-518,PID0314_001,80,HX213,Falcon-13,Vertex Solutions,2025-05-17,Settlements,Yes,QC7426
PID0314_001-521,PID0314_001,0,TC409,Orion-09,Nova Support,2025-05-17,Generic,Yes,QC7841
PID0314_001-525,PID0314_001,90,TC412,Orion-12,Nova Support,2025-05-17,Onboarding,Yes,QC7841
PID0314_001-527,PID0314_001,90,TC412,Orion-12,Nova Support,2025-05-17,Devices,Yes,QC7841
PID0314_001-528,PID0314_001,90,HX220,Falcon-20,Vertex Solutions,2025-05-17,Generic,Yes,QC7426
PID0314_001-529,PID0314_001,90,TC414,Orion-14,Nova Support,2025-05-17,Devices,Yes,QC7841
PID0314_001-531,PID0314_001,80,HX224,Falcon-24,Vertex Solutions,2025-05-17,Non actionable,Yes,QC7426
PID0314_001-537,PID0314_001,0,TC404,Orion-04,Nova Support,2025-05-17,Post disbursal,Yes,QC7426
PID0314_001-539,PID0314_001,80,HX217,Falcon-17,Vertex Solutions,2025-05-17,Non actionable,Yes,QC9234
PID0314_001-540,PID0314_001,0,TC423,Orion-23,Nova Support,2025-05-17,Generic,Yes,QC7841
PID0314_001-542,PID0314_001,80,TC405,Orion-05,Nova Support,2025-05-17,Settlements,Yes,QC7426
PID0314_001-543,PID0314_001,0,TC406,Orion-06,Nova Support,2025-05-17,Non actionable,Yes,QC7426
PID0314_001-549,PID0314_001,100,SK301,Nova-01,Quantum Assist,2025-05-18,Devices,Yes,QC9234
PID0314_001-550,PID0314_001,70,SK302,Nova-02,Quantum Assist,2025-05-18,Onboarding,Yes,QC7426
PID0314_001-551,PID0314_001,0,HX205,Falcon-05,Vertex Solutions,2025-05-17,Generic,Yes,QC7426
PID0314_001-552,PID0314_001,100,HX205,Falcon-05,Vertex Solutions,2025-05-18,Devices,Yes,QC7426
PID0314_001-553,PID0314_001,80,SK301,Nova-01,Quantum Assist,2025-05-18,Settlements,Yes,QC9234
PID0314_001-554,PID0314_001,90,SK301,Nova-01,Quantum Assist,2025-05-18,Merchant profile,Yes,QC7841
PID0314_001-555,PID0314_001,90,HX207,Falcon-07,Vertex Solutions,2025-05-18,Devices,Yes,QC7426
PID0314_001-556,PID0314_001,80,SK301,Nova-01,Quantum Assist,2025-05-18,Settlements,Yes,QC7841
PID0314_001-557,PID0314_001,0,SK302,Nova-02,Quantum Assist,2025-05-18,Settlements,Yes,QC9234
PID0314_001-558,PID0314_001,100,HX212,Falcon-12,Vertex Solutions,2025-05-18,Settlements,Yes,QC7426
PID0314_001-559,PID0314_001,90,SK302,Nova-02,Quantum Assist,2025-05-18,Payments,Yes,QC7841
PID0314_001-567,PID0314_001,80,HX223,Falcon-23,Vertex Solutions,2025-05-18,Devices,Yes,QC7426
PID0314_001-568,PID0314_001,70,HX220,Falcon-20,Vertex Solutions,2025-05-18,Settlements,Yes,QC7841
PID0314_001-569,PID0314_001,80,HX220,Falcon-20,Vertex Solutions,2025-05-18,Devices,Yes,QC7841
PID0314_001-570,PID0314_001,100,SK302,Nova-02,Quantum Assist,2025-05-18,Settlements,Yes,QC9234
PID0314_001-572,PID0314_001,0,HX226,Falcon-26,Vertex Solutions,2025-05-18,Devices,Yes,QC7426
PID0314_001-573,PID0314_001,90,HX226,Falcon-26,Vertex Solutions,2025-05-18,Devices,Yes,QC7841
PID0314_001-577,PID0314_001,90,TC404,Orion-04,Nova Support,2025-05-18,Devices,Yes,QC7426
PID0314_001-578,PID0314_001,0,TC401,Orion-01,Nova Support,2025-05-18,Post disbursal,Yes,QC7841
PID0314_001-581,PID0314_001,0,TC405,Orion-05,Nova Support,2025-05-18,Devices,Yes,QC7426
PID0314_001-582,PID0314_001,0,TC405,Orion-05,Nova Support,2025-05-18,Merchant profile,Yes,QC7841
PID0314_001-588,PID0314_001,60,TC412,Orion-12,Nova Support,2025-05-18,Devices,Yes,QC7426
PID0314_001-591,PID0314_001,80,HX209,Falcon-09,Vertex Solutions,2025-05-18,Settlements,Yes,QC9234
PID0314_001-592,PID0314_001,0,TC419,Orion-19,Nova Support,2025-05-18,Non actionable,Yes,QC7841
PID0314_001-595,PID0314_001,80,TC412,Orion-12,Nova Support,2025-05-18,Devices,Yes,QC7426
PID0314_001-598,PID0314_001,70,TC414,Orion-14,Nova Support,2025-05-18,Devices,Yes,QC7426
PID0314_001-599,PID0314_001,90,TC423,Orion-23,Nova Support,2025-05-18,Settlements,Yes,QC7841
PID0314_001-600,PID0314_001,80,TC414,Orion-14,Nova Support,2025-05-18,Devices,Yes,QC7426
PID0314_001-602,PID0314_001,80,HX213,Falcon-13,Vertex Solutions,2025-05-18,Generic,Yes,QC9234
PID0314_001-606,PID0314_001,100,TC420,Orion-20,Nova Support,2025-05-18,Devices,Yes,QC7426
PID0314_001-607,PID0314_001,90,HX218,Falcon-18,Vertex Solutions,2025-05-18,Generic,Yes,QC7841
PID0314_001-612,PID0314_001,80,HX225,Falcon-25,Vertex Solutions,2025-05-18,Devices,Yes,QC7841
PID0314_001-613,PID0314_001,0,TC406,Orion-06,Nova Support,2025-05-18,Generic,Yes,QC7841
PID0314_001-617,PID0314_001,90,TC423,Orion-23,Nova Support,2025-05-18,Generic,Yes,QC7841
PID0314_001-620,PID0314_001,0,TC409,Orion-09,Nova Support,2025-05-18,Generic,Yes,QC9234
PID0314_001-624,PID0314_001,100,SK301,Nova-01,Quantum Assist,2025-05-19,Generic,Yes,QC7426
PID0314_001-628,PID0314_001,90,SK301,Nova-01,Quantum Assist,2025-05-19,Payments,Yes,QC7426
PID0314_001-629,PID0314_001,90,SK302,Nova-02,Quantum Assist,2025-05-19,Devices,Yes,QC7426
PID0314_001-630,PID0314_001,80,SK302,Nova-02,Quantum Assist,2025-05-18,Devices,Yes,QC7426
PID0314_001-631,PID0314_001,90,SK302,Nova-02,Quantum Assist,2025-05-19,Generic,Yes,QC9234
PID0314_001-633,PID0314_001,0,HX205,Falcon-05,Vertex Solutions,2025-05-19,Settlements,Yes,QC7426
PID0314_001-645,PID0314_001,90,HX209,Falcon-09,Vertex Solutions,2025-05-19,Settlements,Yes,QC9234
PID0314_001-652,PID0314_001,0,TC401,Orion-01,Nova Support,2025-05-19,Generic,Yes,QC7426
PID0314_001-655,PID0314_001,80,TC402,Orion-02,Nova Support,2025-05-19,Merchant profile,Yes,QC7426
PID0314_001-657,PID0314_001,70,TC402,Orion-02,Nova Support,2025-05-19,Devices,Yes,QC7426
PID0314_001-660,PID0314_001,0,TC406,Orion-06,Nova Support,2025-05-19,Devices,Yes,QC7841
PID0314_001-661,PID0314_001,0,TC404,Orion-04,Nova Support,2025-05-19,FRA Merchant Escalations,Yes,QC7426
PID0314_001-668,PID0314_001,80,TC412,Orion-12,Nova Support,2025-05-19,Settlements,Yes,QC7426
PID0314_001-670,PID0314_001,80,TC408,Orion-08,Nova Support,2025-05-19,Devices,Yes,QC7841
PID0314_001-671,PID0314_001,80,TC409,Orion-09,Nova Support,2025-05-19,Settlements,Yes,QC7841
PID0314_001-672,PID0314_001,0,TC410,Orion-10,Nova Support,2025-05-19,Devices,Yes,QC7841
PID0314_001-673,PID0314_001,100,TC414,Orion-14,Nova Support,2025-05-19,Post disbursal,Yes,QC7426
PID0314_001-674,PID0314_001,80,TC410,Orion-10,Nova Support,2025-05-19,Settlements,Yes,QC7841
PID0314_001-675,PID0314_001,0,TC414,Orion-14,Nova Support,2025-05-19,Devices,Yes,QC7426
PID0314_001-676,PID0314_001,90,TC411,Orion-11,Nova Support,2025-05-19,Generic,Yes,QC7841
PID0314_001-677,PID0314_001,0,TC417,Orion-17,Nova Support,2025-05-19,Devices,Yes,QC7426
PID0314_001-678,PID0314_001,80,TC413,Orion-13,Nova Support,2025-05-19,Devices,Yes,QC7841
PID0314_001-679,PID0314_001,70,TC413,Orion-13,Nova Support,2025-05-19,Devices,Yes,QC7841
PID0314_001-680,PID0314_001,0,TC417,Orion-17,Nova Support,2025-05-19,Devices,Yes,QC7426
PID0314_001-684,PID0314_001,90,HX214,Falcon-14,Vertex Solutions,2025-05-19,Devices,Yes,QC9234
PID0314_001-690,PID0314_001,90,TC422,Orion-22,Nova Support,2025-05-19,Merchant profile,Yes,QC7426
PID0314_001-692,PID0314_001,90,TC421,Orion-21,Nova Support,2025-05-19,Devices,Yes,QC7841
PID0314_001-697,PID0314_001,90,TC425,Orion-25,Nova Support,2025-05-19,Generic,Yes,QC7841
PID0314_001-698,PID0314_001,80,TC425,Orion-25,Nova Support,2025-05-19,Generic,Yes,QC7841
PID0314_001-702,PID0314_001,80,HX223,Falcon-23,Vertex Solutions,2025-05-19,Settlements,Yes,QC9234
PID0314_001-708,PID0314_001,100,HX202,Falcon-02,Vertex Solutions,2025-05-20,Devices,Yes,QC7841
PID0314_001-714,PID0314_001,100,SK301,Nova-01,Quantum Assist,2025-05-20,Settlements,Yes,QC7426
PID0314_001-715,PID0314_001,90,SK301,Nova-01,Quantum Assist,2025-05-20,Settlements,Yes,QC7426
PID0314_001-716,PID0314_001,0,HX213,Falcon-13,Vertex Solutions,2025-05-20,Generic,Yes,QC7841
PID0314_001-725,PID0314_001,0,HX207,Falcon-07,Vertex Solutions,2025-05-20,Devices,Yes,QC7426
PID0314_001-726,PID0314_001,100,HX207,Falcon-07,Vertex Solutions,2025-05-20,Devices,Yes,QC9234
PID0314_001-728,PID0314_001,100,HX208,Falcon-08,Vertex Solutions,2025-05-20,Generic,Yes,QC7426
PID0314_001-731,PID0314_001,90,HX208,Falcon-08,Vertex Solutions,2025-05-20,Settlements,Yes,QC7426
PID0314_001-738,PID0314_001,70,HX213,Falcon-13,Vertex Solutions,2025-05-20,Settlements,Yes,QC7426
PID0314_001-739,PID0314_001,90,HX220,Falcon-20,Vertex Solutions,2025-05-20,Settlements,Yes,QC7841
PID0314_001-741,PID0314_001,60,HX223,Falcon-23,Vertex Solutions,2025-05-20,Settlements,Yes,QC7841
PID0314_001-748,PID0314_001,80,HX224,Falcon-24,Vertex Solutions,2025-05-20,Devices,Yes,QC7841
PID0314_001-751,PID0314_001,90,TC407,Orion-07,Nova Support,2025-05-20,Devices,Yes,QC7841
PID0314_001-752,PID0314_001,80,TC406,Orion-06,Nova Support,2025-05-20,Generic,Yes,QC9234
PID0314_001-756,PID0314_001,0,TC408,Orion-08,Nova Support,2025-05-20,Merchant profile,Yes,QC9234
PID0314_001-759,PID0314_001,0,TC426,Orion-26,Nova Support,2025-05-20,Generic,Yes,QC7841
PID0314_001-760,PID0314_001,80,TC408,Orion-08,Nova Support,2025-05-20,Settlements,Yes,QC9234
PID0314_001-761,PID0314_001,80,TC409,Orion-09,Nova Support,2025-05-20,Settlements,Yes,QC9234
PID0314_001-763,PID0314_001,50,TC411,Orion-11,Nova Support,2025-05-20,Settlements,Yes,QC9234
PID0314_001-765,PID0314_001,0,TC413,Orion-13,Nova Support,2025-05-20,Devices,Yes,QC7841
PID0314_001-766,PID0314_001,80,TC413,Orion-13,Nova Support,2025-05-20,Devices,Yes,QC9234
